id,name,url,brand,price
9167283,"Колбаса Мясницкий ряд От шефа Докторская вареная, 470г",https://online.metro-cc.ru/products/kolbasa-myasnitskiy-ryad-ot-shefa-doktorskaya-varenaya-470g,МЯСНИЦКИЙ РЯД,199
390401,"Колбаса Мясной дом Бородина Краковская полукопченая, 400г",https://online.metro-cc.ru/products/art_547189,МЯСНОЙ ДОМ БОРОДИНА,299
593829523,"Ветчина Мясной дом Бородина для завтрака, 500г",https://online.metro-cc.ru/products/500g-vetchina-dlya-zavtraka-myasnoy-dom-borodina-bo-vu,МЯСНОЙ ДОМ БОРОДИНА,389
249490,"Колбаса Дымов Докторская вареная ГОСТ, ~1кг",https://online.metro-cc.ru/products/doktorskaya-gost-dymov-1kg,ДЫМОВ,509
626586,"Колбаса Индилайт Сервелат Амбер варено-копченая, 400г",https://online.metro-cc.ru/products/400g-servelat-indilajt-amber-v-k-ohl-vu,ИНДИЛАЙТ,309
527690,"Колбаса Рублевский Докторская вареная, 350г",https://online.metro-cc.ru/products/doktorskaya-rublyovskij-350g,РУБЛЕВСКИЙ,349
230309,"Колбаса Велком Языковая вареная, 500г",https://online.metro-cc.ru/products/yazykovaya-velkom-500g,ВЕЛКОМ,309
532791,"Колбаса Мясницкий ряд Верона сыровяленая, 90г",https://online.metro-cc.ru/products/myasnickij-ryad-verona-syrovyalenaya-90g,МЯСНИЦКИЙ РЯД,109
410381,"Колбаса Останкино Ароматная сырокопченая нарезка, 100г",https://online.metro-cc.ru/products/art_564839,ОСТАНКИНО,139
654157,"Ветчина вареная Черкизово по-черкизовски, 200г",https://online.metro-cc.ru/products/200g-cherkizovo-po-cherkizovski,ЧЕРКИЗОВО,119
151759,"Колбаса Охотный Ряд Итальянская сырокопченая, ~625г",https://online.metro-cc.ru/products/italyanskaya-ohotnyj-ryad-s-k,ОХОТНЫЙ РЯД,1 379
